,City,Cloudiness %,Coutry,Date,Humidity %,Latitude,Long,Temperature (F),Wind Speed (mph)
56,Nanortalik,0,GL,1567105374.0,78,60.14,-45.24,44.15,5.03
57,Shingu,88,JP,1567105886.0,98,33.72,135.99,70.07,4.34
58,Jamestown,83,SH,1567105580.0,73,-15.94,-5.72,67.37,21.79
59,Shiraz,0,IR,1567105887.0,15,29.61,52.54,82.4,4.7
60,Acapulco,40,MX,1567105702.0,74,16.86,-99.88,87.8,6.93
61,Birjand,0,IR,1567105888.0,22,32.86,59.22,77.0,13.87
62,Port Alfred,6,ZA,1567105594.0,73,-33.59,26.89,60.01,4.0
63,Portland,97,AU,1567105477.0,98,-33.35,149.98,45.0,3.0
64,Los Llanos de Aridane,75,ES,1567105418.0,73,28.66,-17.92,75.2,17.22
65,Faanui,44,PF,1567105425.0,70,-16.48,-151.75,78.89,8.14
66,Seoul,90,KR,1567105845.0,106,37.57,126.98,71.6,2.24
67,Salalah,75,OM,1567105753.0,94,17.01,54.1,78.8,6.93
68,Chuy,64,UY,1567105578.0,71,-33.69,-53.46,68.81,5.64
69,Xuddur,46,SO,1567105890.0,55,4.12,43.89,79.61,18.05
70,Arraial do Cabo,75,BR,1567105669.0,73,-22.97,-42.02,73.4,17.22
71,Tasiilaq,20,GL,1567105597.0,75,65.61,-37.64,44.6,4.7
72,Kodiak,40,US,1567105630.0,70,39.95,-94.76,90.0,16.11
73,Nelson Bay,75,AU,1567105742.0,93,-32.72,152.14,53.01,10.29
76,Cermik,0,TR,1567105892.0,26,38.14,39.45,78.8,5.82
77,Bredasdorp,99,ZA,1567105589.0,57,-34.53,20.04,50.0,6.93
78,Puerto Ayora,40,EC,1567105630.0,69,-0.74,-90.35,77.0,8.05
79,Sept-Iles,90,CA,1567105594.0,93,50.2,-66.38,59.0,18.34
80,Saint-Pierre,75,PM,1567105632.0,77,46.77,-56.17,62.6,8.05
81,Castro,75,CL,1567105597.0,76,-42.48,-73.76,50.0,12.75
82,Zemio,97,CF,1567105894.0,92,5.02,25.13,71.33,3.38
83,Hilo,90,US,1567105570.0,69,19.71,-155.08,79.0,6.93
84,Raymond,75,CA,1567105895.0,32,49.47,-112.67,73.99,8.05
85,Fortuna,75,US,1567105410.0,64,40.6,-124.16,71.6,5.82
87,Launceston,0,AU,1567105896.0,96,-41.43,147.14,35.01,4.7
88,Srikakulam,99,IN,1567105672.0,87,18.29,83.89,80.87,1.34
89,Narsaq,20,GL,1567105728.0,51,60.91,-46.05,59.0,9.17
90,Alta Floresta,57,BR,1567105648.0,13,-9.87,-56.08,103.37,3.09
91,Benghazi,0,LY,1567105897.0,75,32.12,20.07,80.51,15.7
92,Kaitangata,71,NZ,1567105598.0,62,-46.28,169.85,45.0,14.0
93,Nazret,70,ET,1567105898.0,88,8.55,39.27,61.25,10.54
96,Talnakh,75,RU,1567105403.0,93,69.49,88.39,50.0,8.95
97,Coihaique,40,CL,1567105793.0,99,-45.58,-72.07,48.2,2.24
98,Vaini,20,TO,1567105581.0,82,-21.2,-175.2,66.2,6.93
99,Kiama,75,AU,1567105900.0,100,-34.67,150.86,55.99,16.11
100,Tautira,20,PF,1567105428.0,65,-17.73,-149.15,82.4,8.05
101,Lagoa,0,PT,1567105395.0,51,37.14,-8.45,84.99,6.93
102,Coahuayana,9,MX,1567105696.0,67,18.62,-100.35,85.55,2.66
103,Fort Walton Beach,1,US,1567105855.0,43,30.41,-86.62,95.0,5.82
104,San Mateo del Mar,3,MX,1567105901.0,47,16.21,-94.98,91.85,18.95
105,Guerrero Negro,85,MX,1567105378.0,82,27.97,-114.04,70.43,8.84
107,Kaeo,0,NZ,1567105902.0,100,-35.1,173.78,42.01,3.11
108,Hithadhoo,96,MV,1567105579.0,59,-0.6,73.08,83.03,4.25
109,San Patricio,40,MX,1567105644.0,66,19.22,-104.7,91.4,6.93
110,Praia,75,CV,1567105903.0,70,14.92,-23.51,84.2,6.93
111,Nyurba,17,RU,1567105904.0,91,63.29,118.35,49.73,1.14
112,Rafraf,75,TN,1567105904.0,83,37.19,10.18,77.0,3.36
113,Mount Gambier,30,AU,1567105737.0,93,-37.83,140.78,35.6,11.43
114,Sabratah,0,LY,1567105905.0,73,32.79,12.49,81.41,23.04
115,Luganville,75,VU,1567105905.0,69,-15.51,167.18,77.0,16.11
116,Zhelyabovka,0,UA,1567105906.0,67,45.4,34.76,64.49,8.1
117,Punta Arenas,75,CL,1567105595.0,70,-53.16,-70.91,42.8,27.51
118,Carnarvon,0,AU,1567105705.0,100,-24.87,113.63,64.4,6.93
119,Popondetta,59,PG,1567105907.0,92,-8.77,148.24,62.87,3.31
120,Vao,100,NC,1567105670.0,77,-22.67,167.48,69.71,18.68
121,Pacific Grove,1,US,1567105400.0,60,36.62,-121.92,78.01,4.7
122,Toamasina,40,MG,1567105908.0,88,-18.17,49.38,68.0,1.12
123,Kununurra,51,AU,1567105589.0,62,-15.77,128.74,51.8,1.12
124,Bambous Virieux,75,MU,1567105626.0,69,-20.34,57.76,73.4,10.29
125,Chifeng,0,CN,1567105909.0,72,42.27,118.96,56.03,14.25
126,Presidente Medici,16,BR,1567105909.0,21,-11.18,-61.9,99.77,5.66
127,Igurusi,0,TZ,1567105910.0,54,-8.83,33.85,56.39,6.35
128,Linxia,90,CN,1567105910.0,74,35.6,103.21,55.31,2.73
129,Trairi,37,BR,1567105777.0,29,-3.28,-39.27,94.19,9.01
130,Talara,0,PE,1567105887.0,290,-4.58,-81.27,62.6,10.29
131,Jalu,0,LY,1567105911.0,21,29.03,21.55,88.61,9.08
132,Seia,0,PT,1567105912.0,57,40.42,-7.7,84.99,3.0
133,Dikson,100,RU,1567105645.0,95,73.51,80.55,42.35,17.45
134,Thompson,75,CA,1567105602.0,44,55.74,-97.86,59.0,21.92
135,Lugovoy,79,RU,1567105913.0,85,59.72,65.88,46.49,9.66
136,Oudtshoorn,20,ZA,1567105913.0,66,-33.59,22.2,50.0,5.82
137,Albina,16,SR,1567105913.0,76,5.5,-54.05,83.39,6.06
138,Komsomolskiy,100,RU,1567105483.0,77,67.55,63.78,39.83,10.63
139,Garissa,40,KE,1567105914.0,61,-0.46,39.64,79.25,21.47
141,Ferme-Neuve,46,CA,1567105915.0,65,46.7,-75.45,67.37,8.16
142,Asosa,100,ET,1567105432.0,97,10.07,34.53,66.29,0.63
143,Manado,20,ID,1567105916.0,88,1.49,124.85,69.8,3.36
144,Luanda,75,AO,1567105214.0,78,-8.83,13.24,73.4,8.05
145,Meadow Lake,75,CA,1567105916.0,62,54.13,-108.44,59.0,9.17
146,Segamat,75,MY,1567105917.0,83,2.51,102.82,82.4,1.72
147,Tuktoyaktuk,75,CA,1567105609.0,69,69.44,-133.03,39.2,4.7
150,Borazjan,0,IR,1567105918.0,59,29.27,51.21,95.0,2.28
151,Nikolskoye,0,RU,1567105579.0,63,59.7,30.79,66.99,8.95
152,Itoman,75,JP,1567105782.0,88,26.12,127.67,82.4,6.93
153,Klaksvik,75,FO,1567105752.0,100,62.23,-6.59,51.8,17.22
154,Khulo,20,GE,1567105919.0,94,41.64,42.31,75.2,5.82
155,Caconda,0,AO,1567105920.0,12,-13.73,15.06,71.51,5.37
156,Fushun,28,CN,1567105920.0,100,41.89,123.95,60.8,4.47
157,Sola,90,VU,1567105401.0,78,-13.88,167.55,80.6,17.22
158,Bluff,100,NZ,1567105621.0,89,-46.6,168.33,44.01,7.0
159,Anadyr,75,RU,1567105493.0,81,64.73,177.51,50.0,13.42
160,Atuona,50,PF,1567105577.0,76,-9.8,-139.03,79.43,22.15
161,Maputo,20,MZ,1567105639.0,78,-25.97,32.57,71.6,12.75
162,Omsukchan,100,RU,1567105398.0,84,62.53,155.8,38.03,5.99
163,Kruisfontein,51,ZA,1567105691.0,82,-34.0,24.73,49.19,9.89
164,Mar del Plata,5,AR,1567105434.0,27,-46.43,-67.52,49.19,23.15
165,Margate,88,ZA,1567105485.0,92,-30.86,30.37,59.09,1.66
166,Bubaque,64,GW,1567105495.0,83,11.28,-15.83,80.51,18.9
167,Petropavlovsk-Kamchatskiy,22,RU,1567105924.0,100,53.05,158.65,44.6,2.24
168,Xining,98,CN,1567105795.0,78,36.62,101.77,52.25,1.41
169,Bolu,0,TR,1567105924.0,92,40.73,31.61,59.09,1.05
170,Saint-Denis,24,RE,1567105925.0,64,-20.87,55.47,73.4,12.75
171,Clyde River,75,CA,1567105744.0,81,70.47,-68.59,50.0,20.8
172,Kargil,20,IN,1567105925.0,57,34.57,76.1,56.03,8.08
173,Pisco,40,PE,1567105690.0,30,-13.71,-76.2,71.6,8.05
174,Nanma,0,CN,1567105926.0,57,35.7,113.14,58.01,1.1
175,Ilulissat,5,GL,1567105382.0,39,69.22,-51.1,44.6,6.93
176,Cayenne,20,GF,1567105367.0,66,4.94,-52.33,87.8,14.99
177,Myanaung,99,MM,1567105467.0,93,18.28,95.32,74.93,3.49
178,Shache,78,CN,1567105928.0,45,38.42,77.24,84.0,3.0
179,Esperance,90,AU,1567105390.0,67,-33.86,121.89,62.6,14.99
180,Mnogovershinnyy,100,RU,1567105928.0,89,53.94,139.92,45.77,2.33
182,Namibe,42,AO,1567105468.0,83,-15.19,12.15,64.31,7.38
183,Ampanihy,0,MG,1567105444.0,85,-24.69,44.75,61.97,6.11
184,Soyo,4,AO,1567105930.0,85,-6.13,12.37,73.49,12.17
186,Dunedin,5,NZ,1567105289.0,64,-45.87,170.5,42.01,4.0
187,Goundam,62,ML,1567105932.0,42,16.42,-3.66,92.03,8.77
188,Riverton,100,NZ,1567105932.0,89,-46.35,168.02,44.01,5.01
189,Tuatapere,99,NZ,1567105627.0,89,-46.13,167.69,44.01,7.0
190,Fare,15,PF,1567105761.0,72,-16.7,-151.02,78.53,10.04
191,Norman Wells,75,CA,1567105489.0,76,65.28,-126.83,48.2,6.93
193,Skibbereen,75,IE,1567105934.0,82,51.55,-9.27,60.8,13.87
194,Celestun,0,MX,1567105934.0,72,20.87,-90.4,81.23,7.4
195,Pevek,100,RU,1567105657.0,97,69.7,170.27,39.83,8.41
196,Fort Nelson,5,CA,1567105466.0,62,58.81,-122.69,57.2,3.36
197,Cabo San Lucas,40,MX,1567105336.0,66,22.89,-109.91,93.0,3.36
198,Buchanan,75,LR,1567105414.0,88,5.88,-10.05,78.8,11.27
199,Texarkana,40,US,1567105936.0,55,33.44,-94.04,91.99,5.82
200,Luderitz,0,NA,1567105417.0,62,-26.65,15.16,57.2,28.86
202,Port Augusta,0,AU,1567105549.0,53,-32.49,137.76,41.0,5.82
203,Banda Aceh,100,ID,1567105210.0,79,5.56,95.32,82.85,21.77
204,Wukari,97,NG,1567105938.0,78,7.87,9.78,79.61,4.36
205,Kodinsk,59,RU,1567105938.0,83,58.6,99.18,49.73,1.83
206,Ha Tinh,100,VN,1567105924.0,93,18.33,105.9,78.35,4.83
207,Sarkand,42,KZ,1567105716.0,38,45.41,79.91,73.49,6.46
208,Pokhara,99,NP,1567105940.0,80,28.21,83.99,60.35,0.92
210,Port Moresby,75,PG,1567105941.0,94,-9.47,147.16,75.2,14.99
211,Hofn,90,IS,1567105386.0,93,64.25,-15.21,50.0,5.82
212,Satipo,17,PE,1567105941.0,59,-11.26,-74.64,52.43,8.01
213,Gamba,26,GA,1567105942.0,83,-2.72,10.02,74.75,7.78
214,Yumen,64,CN,1567105709.0,18,40.29,97.04,72.77,12.1
216,Ancud,75,CL,1567105392.0,76,-41.87,-73.83,50.0,12.75
217,La Sarre,25,CA,1567105445.0,47,48.8,-79.2,66.29,11.9
218,Ola,89,RU,1567105943.0,92,59.58,151.3,52.07,1.63
219,Dingle,40,IE,1567105408.0,77,52.14,-10.27,62.6,16.11
221,Dong Hoi,100,VN,1567105467.0,90,17.48,106.6,77.27,11.52
222,Yaya,99,RU,1567105946.0,94,56.2,86.45,54.41,4.56
223,Cidreira,36,BR,1567105641.0,46,-30.17,-50.22,82.13,7.31
224,Azul,57,AR,1567105947.0,33,-36.78,-59.86,62.01,4.0
225,Along,100,IN,1567105947.0,93,28.17,94.8,61.97,4.05
226,Katangli,100,RU,1567105948.0,97,51.71,143.23,52.43,9.35
228,Coquimbo,20,CL,1567105431.0,72,-29.95,-71.34,60.8,12.75
229,Wenatchee,1,US,1567105762.0,43,47.42,-120.31,78.01,2.44
230,Tiksi,20,RU,1567105643.0,81,71.64,128.87,35.51,17.76
231,Bria,16,CF,1567105949.0,94,6.54,21.99,71.33,1.99
232,Sioux Lookout,90,CA,1567105286.0,58,50.1,-91.92,59.0,18.34
234,Maniitsoq,0,GL,1567105950.0,66,65.42,-52.9,45.95,6.78
235,Guia de Isora,0,ES,1567105951.0,69,28.21,-16.78,77.0,23.04
236,Barrow,1,US,1567105651.0,78,39.51,-90.4,84.99,8.05
238,Leshukonskoye,50,RU,1567105952.0,83,64.9,45.76,43.61,1.9
239,San Cristobal,25,EC,1567105655.0,45,-1.02,-79.44,88.79,5.55
240,Shenjiamen,99,CN,1567105952.0,80,29.96,122.3,76.37,9.57
241,Georgetown,79,SH,1567105583.0,82,-7.93,-14.42,73.31,20.49
242,Hovd,0,MN,1567105427.0,31,48.01,91.64,60.53,1.99
243,Green Valley,75,US,1567105954.0,78,40.41,-89.64,79.0,11.41
244,Cockburn Town,40,TC,1567105783.0,62,21.46,-71.14,87.8,103.57
245,Hasaki,40,JP,1567105511.0,88,35.73,140.83,78.8,5.82
246,Niquelandia,64,BR,1567105891.0,16,-14.47,-48.46,98.51,1.14
247,Sitka,0,US,1567105677.0,46,37.17,-99.65,93.99,8.01
248,Weligama,96,LK,1567105955.0,80,5.97,80.42,81.41,17.72
249,Chalmette,1,US,1567105956.0,59,29.94,-89.96,93.99,5.82
251,Storforshei,75,NO,1567105957.0,87,66.4,14.52,59.0,23.04
254,Kavieng,24,PG,1567105588.0,77,-2.57,150.8,82.49,5.37
255,Charters Towers,0,AU,1567105682.0,96,-20.07,146.27,59.63,3.42
257,Makasar,40,ID,1567105959.0,65,-6.28,106.88,80.6,3.36
258,Chekalin,0,RU,1567105959.0,87,54.1,36.24,53.6,1.5
260,Constitucion,90,MX,1567105601.0,60,23.99,-104.67,73.0,4.7
261,Yanam,59,IN,1567105960.0,88,16.73,82.22,80.15,7.31
262,Mayumba,95,GA,1567105961.0,89,-3.44,10.65,73.67,8.93
263,Tambun,40,ID,1567105491.0,65,-6.26,107.07,80.6,3.36
264,Waddan,0,LY,1567105961.0,18,29.16,16.14,86.81,6.26
265,Mount Isa,0,AU,1567105428.0,25,-20.73,139.49,53.6,9.17
267,Sorland,90,NO,1567105963.0,100,67.67,12.69,60.8,9.17
268,General Pico,44,AR,1567105709.0,21,-35.66,-63.75,65.75,11.39
269,Mahebourg,75,MU,1567105626.0,69,-20.41,57.7,73.4,10.29
270,Zyryanka,10,RU,1567105964.0,82,65.73,150.89,29.21,5.46
271,Matara,93,LK,1567105516.0,92,5.95,80.54,76.55,7.4
272,Tilichiki,91,RU,1567105965.0,97,60.47,166.1,45.41,0.78
273,Verkhnyaya Inta,100,RU,1567105965.0,82,65.99,60.32,42.35,8.57
274,Darhan,0,MN,1567105965.0,76,49.49,105.92,56.75,2.55
276,Dehloran,0,IR,1567105966.0,11,32.69,47.27,88.43,13.6
278,Ambulu,33,ID,1567105967.0,84,-8.35,113.61,72.77,3.71
279,Geraldton,90,CA,1567105676.0,93,49.72,-86.95,57.2,6.93
281,Alvdal,75,NO,1567105968.0,100,62.11,10.63,51.8,3.36
282,Taft,0,IR,1567105968.0,16,31.75,54.22,89.6,6.93
283,Half Moon Bay,1,US,1567105969.0,72,37.46,-122.43,75.99,8.05
284,Berdigestyakh,0,RU,1567105969.0,91,62.1,126.7,42.71,2.3
285,Torbay,90,CA,1567105573.0,87,47.66,-52.73,57.99,9.17
286,Ponta do Sol,20,CV,1567105576.0,58,17.2,-25.09,86.0,12.75
287,Mosquera,40,CO,1567105768.0,42,4.71,-74.23,66.2,17.22
289,Belmonte,0,BR,1567105766.0,25,-26.84,-53.58,90.77,5.68
290,Hobyo,0,SO,1567105975.0,76,5.35,48.53,76.91,25.75
291,Kasongo,18,CD,1567105975.0,41,-4.43,26.67,84.29,2.57
292,Ippy,77,CF,1567105975.0,95,6.26,21.2,71.15,3.24
293,Pundaguitan,74,PH,1567105976.0,77,6.37,126.17,81.41,6.69
294,Aswan,0,EG,1567105548.0,18,24.09,32.9,93.2,4.7
298,Orlik,4,RU,1567105978.0,79,52.51,99.83,44.87,0.89
299,Carutapera,1,BR,1567105978.0,66,-1.2,-46.02,84.29,11.05
300,Svetlogorsk,90,RU,1567105732.0,81,53.14,59.15,50.0,13.42
301,Homer,1,US,1567105979.0,87,59.64,-151.54,55.99,3.36
303,Saint George,20,BM,1567105677.0,74,32.38,-64.68,88.0,9.17
304,Dalby,0,AU,1567105980.0,100,-27.18,151.26,36.0,6.06
305,Sorong,82,ID,1567105664.0,93,-0.86,131.25,73.85,7.07
306,Whitianga,0,NZ,1567105981.0,96,-36.83,175.7,43.0,4.09
307,Lusambo,71,CD,1567105981.0,37,-4.97,23.44,85.73,3.53
308,Reconquista,0,AR,1567105982.0,34,-29.14,-59.64,92.57,10.07
309,Russell,0,NZ,1567105802.0,100,-35.26,174.12,42.01,1.48
310,Opuwo,47,NA,1567105773.0,26,-18.06,13.84,69.17,8.16
311,Blythe,1,US,1567105983.0,34,33.61,-114.59,102.0,6.93
313,Nome,40,US,1567105455.0,59,30.04,-94.42,93.2,5.82
314,Micheweni,9,TZ,1567105984.0,81,-4.97,39.83,77.63,14.92
315,Victoria,75,SC,1567105615.0,94,-4.62,55.45,77.0,10.29
317,Santa Isabel do Rio Negro,49,BR,1567105729.0,42,-0.41,-65.02,93.65,4.05
319,Dumas,1,US,1567105985.0,36,35.87,-101.97,93.0,11.41
320,Vallenar,0,CL,1567105986.0,30,-28.58,-70.76,75.47,10.56
321,Besleney,0,RU,1567105986.0,38,44.24,41.74,59.0,13.0
322,Hambantota,90,LK,1567105729.0,94,6.12,81.12,80.6,10.29
323,Gambo,43,CF,1567105990.0,95,4.65,22.26,72.23,1.86
324,Inirida,66,CO,1567105990.0,64,3.87,-67.92,88.25,1.25
325,Kavaratti,100,IN,1567105487.0,79,10.57,72.64,81.95,19.98
326,Hami,38,CN,1567105686.0,16,42.84,93.51,82.85,8.55
327,Pacifica,1,US,1567105622.0,72,37.61,-122.49,75.0,8.05
329,Porto Novo,20,CV,1567105992.0,58,17.02,-25.06,86.0,12.75
331,Peniche,0,PT,1567105281.0,64,39.36,-9.38,73.4,12.75
332,Adrar,94,DZ,1567105493.0,9,27.87,-0.29,107.6,6.93
333,Sovetskiy,0,RU,1567105994.0,81,56.76,48.47,42.17,8.5
334,North Mankato,1,US,1567105994.0,49,44.17,-94.03,75.0,17.22
335,Brae,50,GB,1567105463.0,87,60.4,-1.35,57.2,20.8
336,Jitra,75,MY,1567105995.0,94,6.27,100.42,75.2,2.24
337,Nizwa,46,OM,1567105995.0,15,22.93,57.53,90.05,4.45
338,Ikwiriri,61,TZ,1567105995.0,70,-7.96,38.99,76.01,8.21
339,Lebu,5,CL,1567105601.0,73,-37.62,-73.65,51.71,14.07
340,Usinsk,100,RU,1567105684.0,86,66.0,57.56,42.71,9.91
341,Tubuala,75,PA,1567105996.0,74,9.52,-79.03,86.0,8.05
342,Port Elizabeth,20,ZA,1567105626.0,62,-33.92,25.57,59.0,11.41
343,Mana,19,GF,1567105669.0,57,5.67,-53.78,88.79,4.76
344,Bethanien,0,NA,1567105997.0,20,-26.5,17.16,56.03,10.25
346,Ponta Delgada,40,PT,1567105711.0,88,37.73,-25.67,73.4,12.75
347,Chipinge,0,ZW,1567105999.0,35,-20.19,32.62,69.17,8.88
348,Lufkin,20,US,1567105929.0,46,31.34,-94.73,93.2,6.93
349,Necochea,50,AR,1567105661.0,74,-38.55,-58.74,54.0,4.0
350,Smirnykh,91,RU,1567106000.0,99,49.74,142.83,49.91,3.31
351,Mikhaylovka,98,KZ,1567106000.0,88,54.89,69.46,52.43,19.42
352,Pathein,100,MM,1567106001.0,88,16.78,94.73,79.07,3.29
353,Victor Harbor,0,AU,1567106001.0,86,-35.55,138.62,46.0,5.64
354,Nichinan,89,JP,1567106001.0,94,31.65,131.31,77.0,0.45
355,Harbin,0,CN,1567106002.0,100,45.77,126.62,62.6,6.71
357,Muravlenko,25,RU,1567106003.0,88,63.79,74.5,40.37,11.1
358,Tapes,39,BR,1567106003.0,59,-30.67,-51.4,77.27,4.92
359,Te Anau,70,NZ,1567105519.0,84,-45.41,167.72,39.83,8.5
360,Parabel,75,RU,1567106004.0,81,58.71,81.5,47.03,10.04
362,Zhuhai,0,CN,1567106005.0,76,40.71,112.04,48.2,4.47
363,Paramonga,53,PE,1567106005.0,88,-10.68,-77.82,59.09,13.06
364,Ahuimanu,20,US,1567105764.0,58,21.44,-157.84,84.2,6.93
365,Ossora,100,RU,1567106006.0,99,59.24,163.07,48.47,2.06
366,Meulaboh,100,ID,1567105797.0,75,4.14,96.13,81.95,4.63
367,Ankang,78,CN,1567105768.0,53,32.73,108.99,64.31,2.3
368,Kamina,63,CD,1567106007.0,41,-8.74,25.0,74.93,0.85
369,Ahipara,5,NZ,1567105707.0,100,-35.17,173.16,41.0,9.28
370,Kalemie,0,CD,1567106007.0,41,-5.95,29.2,72.41,3.09
371,Parnarama,68,BR,1567106008.0,20,-5.68,-43.09,98.33,4.97
372,Walvis Bay,0,NA,1567105818.0,86,-22.95,14.51,55.0,8.01
373,Ixtapa,40,MX,1567105647.0,62,20.71,-105.21,90.0,9.17
374,Atar,61,MR,1567106009.0,26,20.52,-13.05,102.29,10.13
375,Veraval,96,IN,1567105470.0,82,20.9,70.37,83.57,17.96
376,Riachao,62,BR,1567105916.0,16,-7.36,-46.62,100.49,6.2
378,Savelugu,99,GH,1567106010.0,81,9.63,-0.83,79.97,4.41
379,Leninsk,0,RU,1567106010.0,43,48.69,45.2,57.0,4.47
380,Litovko,100,RU,1567106011.0,98,49.24,135.18,56.93,1.74
381,Camacha,40,PT,1567106011.0,69,33.08,-16.33,73.4,11.41
383,Pemberton,100,CA,1567106012.0,43,50.32,-122.8,67.19,2.42
384,Gra Liyia,20,GR,1567106012.0,65,35.02,25.68,80.01,16.11
385,Pangnirtung,90,CA,1567105637.0,30,66.15,-65.72,59.0,17.22
386,Kumbo,91,CM,1567106013.0,92,6.21,10.69,65.21,4.25
387,Keti Bandar,99,PK,1567106013.0,88,24.14,67.45,81.77,15.37
388,Pembroke,75,CA,1567106014.0,46,45.82,-77.11,73.4,8.66
389,Novoagansk,75,RU,1567106014.0,81,61.94,76.66,41.81,3.94
390,Yatou,68,CN,1567106015.0,97,33.81,104.32,50.09,1.48
391,Nabire,95,ID,1567105766.0,97,-3.36,135.5,67.01,4.23
392,Morros,40,BR,1567106015.0,62,-2.87,-44.04,87.8,10.29
393,Ucluelet,90,CA,1567105780.0,93,48.94,-125.55,75.0,8.05
394,Soeng Sang,100,TH,1567106016.0,95,14.43,102.46,72.95,11.12
395,Teya,41,RU,1567105576.0,93,60.37,92.63,41.27,1.61
397,Touros,20,BR,1567105781.0,45,-5.2,-35.46,84.2,12.75
398,Bethel,40,US,1567105691.0,81,60.79,-161.76,51.8,4.7
399,Awjilah,0,LY,1567105745.0,22,29.14,21.3,87.35,6.46
400,Ulladulla,75,AU,1567106018.0,100,-35.36,150.48,46.4,16.11
401,Puerto Ayacucho,40,VE,1567106018.0,88,5.66,-67.62,78.8,5.82
402,San Luis,62,AR,1567105787.0,16,-33.3,-66.34,66.83,23.38
404,Dholka,75,IN,1567106019.0,83,22.73,72.44,84.2,4.7
